RS-Porto_Alegre;-30.0330;-51.2300;27.969116;max
RS-Porto_Alegre;-30.0330;-51.2300;22.231506;min
RS-Rio_Grande;-32.0350;-52.0990;24.495117;max
RS-Rio_Grande;-32.0350;-52.0990;23.897125;min
RS-Santa_Maria;-29.6840;-53.8070;22.900116;max
RS-Santa_Maria;-29.6840;-53.8070;19.590515;min
RS-São_Luiz_Gonzaga;-28.4080;-54.9610;26.05719;max
RS-São_Luiz_Gonzaga;-28.4080;-54.9610;19.621521;min
RS-Tramandaí;-29.9850;-50.2;26.270996;max
RS-Tramandaí;-29.9850;-50.2;20.008514;min
RS-Uruguaiana;-29.7550;-57.0880;29.626373;max
RS-Uruguaiana;-29.7550;-57.0880;21.420441;min
SC-Campos_Novos;-27.4020;-51.2250;18.416138;max
SC-Campos_Novos;-27.4020;-51.2250;14.836517;min
SC-Chapecó;-27.0960;-52.6180;23.564575;max
SC-Chapecó;-27.0960;-52.6180;18.047516;min
SC-Florianópolis;-27.5970;-48.5;25.132324;max
SC-Florianópolis;-27.5970;-48.5;23.859497;min
SC-Indaial;-26.8980;-49.2320;26.698181;max
SC-Indaial;-26.8980;-49.2320;15.562439;min
SE-Aracaju;-10.9110;-37.0720;34.00058;max
SE-Aracaju;-10.9110;-37.0720;24.572449;min
SP-Bauru;-22.3150;-49.0610;32.359436;max
SP-Bauru;-22.3150;-49.0610;20.547638;min
SP-Campinas;-22.9060;-47.0610;30.705566;max
SP-Campinas;-22.9060;-47.0610;20.659454;min
SP-Campos_do_Jordão;-22.7390;-45.5910;24.25058;max
SP-Campos_do_Jordão;-22.7390;-45.5910;14.567444;min
SP-Franca;-20.5390;-47.4010;30.229492;max
SP-Franca;-20.5390;-47.4010;20.039642;min
SP-Pirassununga;-21.9960;-47.4260;31.152435;max
SP-Pirassununga;-21.9960;-47.4260;18.591431;min
SP-Presidente_Prudente;-22.1260;-51.3890;32.670441;max
SP-Presidente_Prudente;-22.1260;-51.3890;21.314636;min
SP-Ribeirão_Preto;-21.1780;-47.8100;32.11145;max
SP-Ribeirão_Preto;-21.1780;-47.8100;20.319458;min
SP-Santos;-23.9;-46.3340;25.833618;max
SP-Santos;-23.9;-46.3340;19.050446;min
SP-São_José_do_Rio_Preto;-20.8200;-49.3790;32.458496;max
SP-São_José_do_Rio_Preto;-20.8200;-49.3790;21.389618;min
SP-São_Paulo;-23.5480;-46.6360;27.889191;max
SP-São_Paulo;-23.5480;-46.6360;18.65744;min
SP-Sorocaba;-23.5020;-47.4580;29.703583;max
SP-Sorocaba;-23.5020;-47.4580;17.670441;min
SP-Taubaté;-23.0260;-45.5550;26.219574;max
SP-Taubaté;-23.0260;-45.5550;15.06543;min
TO-Palmas;-10.2130;-48.3600;32.00119;max
TO-Palmas;-10.2130;-48.3600;22.812622;min
